type,title,calories,protein,carbs,fat,ingredients,recipe
Dinner,Dinner Special 1870,513,54,61,27,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dinner-special-1870
Dessert,Dessert Special 893,864,43,28,26,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/dessert-special-893
Dinner,Dinner Special 5433,264,69,64,29,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/dinner-special-5433
Dinner,Dinner Special 3476,573,65,57,22,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/dinner-special-3476
Lunch,Lunch Special 8459,187,18,70,3,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/lunch-special-8459
Dinner,Dinner Special 8144,509,49,24,5,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/dinner-special-8144
Dinner,Dinner Special 6257,402,57,59,16,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/dinner-special-6257
Dinner,Dinner Special 5349,295,46,15,3,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-5349
Dessert,Dessert Special 4311,269,70,60,28,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/dessert-special-4311
Snack,Snack Special 8666,432,25,23,8,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/snack-special-8666
Dessert,Dessert Special 8739,649,51,60,17,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-8739
Lunch,Lunch Special 1244,268,34,16,18,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/lunch-special-1244
Dinner,Dinner Special 4834,481,47,34,35,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/dinner-special-4834
Dessert,Dessert Special 2793,579,20,78,11,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-2793
Dinner,Dinner Special 7096,695,52,6,40,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-7096
Breakfast,Breakfast Special 8953,319,42,8,15,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/breakfast-special-8953
Dessert,Dessert Special 1151,565,66,24,33,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-1151
Dessert,Dessert Special 861,326,31,8,34,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-861
Lunch,Lunch Special 5812,220,67,9,12,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/lunch-special-5812
Dessert,Dessert Special 9270,843,10,39,25,"Bread, Peanut Butter, Banana, Eggs, Bacon, Toast",https://example.com/dessert-special-9270
Breakfast,Breakfast Special 9288,480,21,22,24,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-9288
Lunch,Lunch Special 8725,269,34,33,13,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-8725
Snack,Snack Special 1978,732,14,55,31,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/snack-special-1978
Dessert,Dessert Special 3439,340,30,47,29,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dessert-special-3439
Breakfast,Breakfast Special 4988,756,55,67,6,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-4988
Breakfast,Breakfast Special 132,221,66,9,32,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/breakfast-special-132
Snack,Snack Special 1668,464,62,44,11,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-1668
Snack,Snack Special 2273,527,34,34,31,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/snack-special-2273
Dessert,Dessert Special 2645,277,69,25,8,"Chicken, Rice, Vegetables, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-2645
Dessert,Dessert Special 6842,741,46,55,36,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-6842
Lunch,Lunch Special 8575,306,55,55,34,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/lunch-special-8575
Dessert,Dessert Special 3418,819,16,58,17,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-3418
Breakfast,Breakfast Special 4074,694,60,8,18,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-4074
Dinner,Dinner Special 403,877,36,58,5,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-403
Dessert,Dessert Special 9077,571,60,80,39,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-9077
Breakfast,Breakfast Special 8287,552,37,27,19,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-8287
Breakfast,Breakfast Unique 7372,302,70,70,4,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/breakfast-unique-7372
Dessert,Dessert Special 666,445,57,64,40,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-666
Dinner,Dinner Special 3263,326,26,40,19,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-3263
Dessert,Dessert Special 9434,654,61,33,8,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-9434
Breakfast,Breakfast Special 8447,700,31,40,19,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-8447
Snack,Snack Special 6750,233,64,29,12,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/snack-special-6750
Dinner,Dinner Special 3642,252,15,77,14,"Eggs, Bacon, Toast, Beef, Potatoes, Peas",https://example.com/dinner-special-3642
Breakfast,Breakfast Special 6700,679,8,51,23,"Fish, Quinoa, Spinach, Beef, Potatoes, Peas",https://example.com/breakfast-special-6700
Breakfast,Breakfast Special 4844,214,69,48,10,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-4844
Dessert,Dessert Special 3928,485,67,34,35,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/dessert-special-3928
Snack,Snack Special 7054,314,52,59,10,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/snack-special-7054
Breakfast,Breakfast Special 1065,888,59,6,31,"Beef, Potatoes, Peas, Chicken, Rice, Vegetables",https://example.com/breakfast-special-1065
Lunch,Lunch Special 4009,816,12,76,19,"Chicken, Rice, Vegetables, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-4009
Dessert,Dessert Special 4215,175,35,31,25,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/dessert-special-4215
Dessert,Dessert Special 2724,397,16,74,9,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-2724
Dessert,Dessert Special 7023,545,5,47,34,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-7023
Lunch,Lunch Special 1188,226,13,76,11,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-1188
Snack,Snack Special 5656,403,51,5,10,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-5656
Dessert,Dessert Special 3290,884,60,12,18,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/dessert-special-3290
Breakfast,Breakfast Special 8621,356,63,17,39,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/breakfast-special-8621
Lunch,Lunch Special 5328,516,41,55,36,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/lunch-special-5328
Lunch,Lunch Special 4816,333,15,36,25,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/lunch-special-4816
Snack,Snack Special 3086,529,60,7,37,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/snack-special-3086
Dinner,Dinner Special 4367,250,33,55,12,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-4367
Breakfast,Breakfast Special 1791,892,58,51,7,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-1791
Breakfast,Breakfast Special 6399,561,68,74,40,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-6399
Breakfast,Breakfast Special 369,626,43,21,34,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/breakfast-special-369
Lunch,Lunch Special 316,285,8,51,4,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/lunch-special-316
Dinner,Dinner Special 9474,153,33,9,12,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dinner-special-9474
Dessert,Dessert Special 654,407,49,13,4,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dessert-special-654
Dessert,Dessert Special 3866,554,29,42,25,"Eggs, Bacon, Toast, Fish, Quinoa, Spinach",https://example.com/dessert-special-3866
Lunch,Lunch Special 2786,471,7,13,30,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/lunch-special-2786
Snack,Snack Special 3248,845,57,53,20,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/snack-special-3248
Dessert,Dessert Special 9859,306,37,42,4,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/dessert-special-9859
Dinner,Dinner Special 9048,483,17,36,29,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dinner-special-9048
Dessert,Dessert Special 2398,359,35,24,10,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/dessert-special-2398
Snack,Snack Special 9931,895,58,22,19,"Fish, Quinoa, Spinach, Beef, Potatoes, Peas",https://example.com/snack-special-9931
Lunch,Lunch Special 2562,232,26,32,36,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-2562
Dinner,Dinner Special 4424,493,54,55,20,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dinner-special-4424
Dessert,Dessert Special 427,338,17,36,25,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-427
Dinner,Dinner Special 5214,775,68,54,13,"Smoothie, Berries, Almond Milk, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-5214
Lunch,Lunch Special 5330,398,63,59,1,"Pasta, Tomato Sauce, Cheese, Chicken, Rice, Vegetables",https://example.com/lunch-special-5330
Dinner,Dinner Special 3842,307,36,27,4,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/dinner-special-3842
Breakfast,Breakfast Special 6557,361,9,52,14,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-6557
Breakfast,Breakfast Special 699,508,61,18,1,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-699
Snack,Snack Special 1808,445,67,54,17,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-1808
Lunch,Lunch Special 2151,488,13,19,28,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/lunch-special-2151
Breakfast,Breakfast Special 202,458,23,29,3,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-202
Breakfast,Breakfast Special 1611,178,18,18,18,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-1611
Breakfast,Breakfast Special 5853,729,70,75,35,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-5853
Snack,Snack Special 703,584,40,66,15,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/snack-special-703
Lunch,Lunch Special 7946,842,14,5,18,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-7946
Dinner,Dinner Special 1189,806,34,70,3,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/dinner-special-1189
Breakfast,Breakfast Special 4570,279,66,77,3,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/breakfast-special-4570
Dinner,Dinner Special 8208,313,57,35,6,"Smoothie, Berries, Almond Milk, Beef, Potatoes, Peas",https://example.com/dinner-special-8208
Snack,Snack Special 7513,738,39,29,12,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-7513
Breakfast,Breakfast Special 9429,870,50,19,12,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/breakfast-special-9429
Breakfast,Breakfast Special 8100,593,9,15,20,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/breakfast-special-8100
Lunch,Lunch Special 1975,294,53,50,31,"Smoothie, Berries, Almond Milk, Beef, Potatoes, Peas",https://example.com/lunch-special-1975
Dessert,Dessert Special 540,749,53,42,9,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-540
Dinner,Dinner Special 8586,741,52,78,7,"Fish, Quinoa, Spinach, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-8586
Snack,Snack Special 717,677,22,12,3,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-717
Snack,Snack Special 5650,332,18,31,5,"Eggs, Bacon, Toast, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-5650
Dessert,Dessert Special 5385,443,28,59,14,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-5385
Snack,Snack Special 9695,526,40,66,18,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/snack-special-9695
Dinner,Dinner Special 2554,355,54,23,9,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dinner-special-2554
Breakfast,Breakfast Special 6721,669,49,56,7,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/breakfast-special-6721
Lunch,Lunch Special 8241,253,22,33,31,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/lunch-special-8241
Breakfast,Breakfast Special 392,635,57,52,18,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-392
Dinner,Dinner Special 9926,344,15,80,11,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-9926
Snack,Snack Special 9119,495,27,19,19,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/snack-special-9119
Dessert,Dessert Special 6248,249,26,45,11,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-6248
Lunch,Lunch Special 6183,640,8,12,36,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/lunch-special-6183
Dessert,Dessert Special 1299,239,20,62,30,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/dessert-special-1299
Snack,Snack Special 6347,166,52,48,32,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/snack-special-6347
Lunch,Lunch Special 6846,278,58,74,35,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/lunch-special-6846
Dessert,Dessert Special 9637,837,69,42,20,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/dessert-special-9637
Breakfast,Breakfast Special 4206,668,32,6,7,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-4206
Breakfast,Breakfast Special 2991,279,66,48,6,"Fish, Quinoa, Spinach, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-2991
Dessert,Dessert Special 270,362,16,66,34,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/dessert-special-270
Lunch,Lunch Special 4466,256,58,35,23,"Smoothie, Berries, Almond Milk, Fish, Quinoa, Spinach",https://example.com/lunch-special-4466
Dessert,Dessert Special 807,634,40,71,16,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-807
Dessert,Dessert Special 7061,377,53,12,21,"Pasta, Tomato Sauce, Cheese, Beef, Potatoes, Peas",https://example.com/dessert-special-7061
Lunch,Lunch Special 9781,201,55,38,40,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/lunch-special-9781
Dinner,Dinner Special 5467,890,35,53,30,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/dinner-special-5467
Lunch,Lunch Special 7529,714,47,16,17,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-7529
Dessert,Dessert Special 1346,602,41,14,3,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-1346
Dessert,Dessert Special 1178,665,42,21,5,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-1178
Snack,Snack Special 5680,346,48,7,18,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/snack-special-5680
Lunch,Lunch Special 2830,613,12,37,4,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/lunch-special-2830
Lunch,Lunch Special 3246,510,55,64,33,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-special-3246
Dessert,Dessert Special 5102,733,58,22,20,"Pasta, Tomato Sauce, Cheese, Chicken, Rice, Vegetables",https://example.com/dessert-special-5102
Snack,Snack Special 1180,448,62,65,35,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/snack-special-1180
Lunch,Lunch Special 7064,843,55,27,25,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-7064
Breakfast,Breakfast Special 190,248,65,55,1,"Fruit Salad, Yogurt, Honey, Chicken, Rice, Vegetables",https://example.com/breakfast-special-190
Dessert,Dessert Special 3523,695,51,76,10,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dessert-special-3523
Lunch,Lunch Special 4603,216,28,5,9,"Fruit Salad, Yogurt, Honey, Eggs, Bacon, Toast",https://example.com/lunch-special-4603
Dessert,Dessert Special 5167,632,5,28,29,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-5167
Dessert,Dessert Special 2733,650,56,61,26,"Smoothie, Berries, Almond Milk, Pasta, Tomato Sauce, Cheese",https://example.com/dessert-special-2733
Dessert,Dessert Special 9802,222,65,8,1,"Chicken, Rice, Vegetables, Beef, Potatoes, Peas",https://example.com/dessert-special-9802
Lunch,Lunch Special 7918,561,31,29,24,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/lunch-special-7918
Dinner,Dinner Special 6780,454,68,52,21,"Bread, Peanut Butter, Banana, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-6780
Lunch,Lunch Special 5951,822,26,61,14,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/lunch-special-5951
Breakfast,Breakfast Special 6960,597,15,9,37,"Bread, Peanut Butter, Banana, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-6960
Dinner,Dinner Special 9180,414,38,74,10,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/dinner-special-9180
Dinner,Dinner Special 8411,461,10,60,25,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/dinner-special-8411
Dessert,Dessert Special 8692,753,62,74,8,"Smoothie, Berries, Almond Milk, Chicken, Rice, Vegetables",https://example.com/dessert-special-8692
Snack,Snack Special 6776,685,11,11,17,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/snack-special-6776
Breakfast,Breakfast Special 9833,796,67,41,34,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-9833
Dessert,Dessert Special 8798,630,51,47,7,"Smoothie, Berries, Almond Milk, Beef, Potatoes, Peas",https://example.com/dessert-special-8798
Lunch,Lunch Special 6905,869,44,39,39,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/lunch-special-6905
Breakfast,Breakfast Special 4339,398,43,33,18,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/breakfast-special-4339
Dinner,Dinner Special 6232,320,62,41,29,"Fruit Salad, Yogurt, Honey, Fish, Quinoa, Spinach",https://example.com/dinner-special-6232
Dessert,Dessert Special 725,625,21,25,34,"Fish, Quinoa, Spinach, Eggs, Bacon, Toast",https://example.com/dessert-special-725
Lunch,Lunch Special 3223,239,54,9,15,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/lunch-special-3223
Lunch,Lunch Special 7844,582,65,25,27,"Bread, Peanut Butter, Banana, Beef, Potatoes, Peas",https://example.com/lunch-special-7844
Dessert,Dessert Special 4138,261,52,78,30,"Fruit Salad, Yogurt, Honey, Bread, Peanut Butter, Banana",https://example.com/dessert-special-4138
Breakfast,Breakfast Special 5548,264,49,39,29,"Eggs, Bacon, Toast, Chicken, Rice, Vegetables",https://example.com/breakfast-special-5548
Snack,Snack Special 3670,477,20,60,27,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/snack-special-3670
Snack,Snack Special 5123,179,42,74,37,"Bread, Peanut Butter, Banana, Smoothie, Berries, Almond Milk",https://example.com/snack-special-5123
Dessert,Dessert Special 9962,454,43,11,24,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/dessert-special-9962
Dessert,Dessert Special 8104,280,53,34,30,"Beef, Potatoes, Peas, Smoothie, Berries, Almond Milk",https://example.com/dessert-special-8104
Dinner,Dinner Special 5203,813,29,67,3,"Pasta, Tomato Sauce, Cheese, Eggs, Bacon, Toast",https://example.com/dinner-special-5203
Snack,Snack Special 8754,791,22,14,37,"Fish, Quinoa, Spinach, Bread, Peanut Butter, Banana",https://example.com/snack-special-8754
Dessert,Dessert Special 8259,535,14,24,7,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/dessert-special-8259
Lunch,Lunch Special 7785,504,8,5,14,"Smoothie, Berries, Almond Milk, Eggs, Bacon, Toast",https://example.com/lunch-special-7785
Breakfast,Breakfast Special 4822,226,69,47,25,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/breakfast-special-4822
Breakfast,Breakfast Special 2723,600,28,68,15,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-2723
Snack,Snack Special 3846,512,61,30,36,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/snack-special-3846
Lunch,Lunch Special 5133,595,26,43,25,"Fish, Quinoa, Spinach, Fruit Salad, Yogurt, Honey",https://example.com/lunch-special-5133
Dinner,Dinner Special 7961,459,63,65,9,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/dinner-special-7961
Dinner,Dinner Special 87,720,63,66,29,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/dinner-special-87
Dessert,Dessert Special 7870,475,56,59,11,"Beef, Potatoes, Peas, Fruit Salad, Yogurt, Honey",https://example.com/dessert-special-7870
Lunch,Lunch Special 7802,810,24,63,6,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/lunch-special-7802
Dessert,Dessert Special 5929,556,24,54,34,"Bread, Peanut Butter, Banana, Chicken, Rice, Vegetables",https://example.com/dessert-special-5929
Snack,Snack Special 4756,620,49,17,2,"Bread, Peanut Butter, Banana, Fish, Quinoa, Spinach",https://example.com/snack-special-4756
Dinner,Dinner Special 4662,622,68,46,8,"Eggs, Bacon, Toast, Fruit Salad, Yogurt, Honey",https://example.com/dinner-special-4662
Snack,Snack Special 1414,404,13,52,18,"Fish, Quinoa, Spinach, Chicken, Rice, Vegetables",https://example.com/snack-special-1414
Breakfast,Breakfast Special 3855,804,59,13,26,"Pasta, Tomato Sauce, Cheese, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-3855
Breakfast,Breakfast Special 6492,368,59,75,39,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-6492
Snack,Snack Special 4731,480,21,46,11,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/snack-special-4731
Dessert,Dessert Special 8094,835,16,38,12,"Chicken, Rice, Vegetables, Fish, Quinoa, Spinach",https://example.com/dessert-special-8094
Lunch,Lunch Special 5977,671,69,55,35,"Eggs, Bacon, Toast, Bread, Peanut Butter, Banana",https://example.com/lunch-special-5977
Breakfast,Breakfast Special 9680,377,20,33,40,"Pasta, Tomato Sauce, Cheese, Fruit Salad, Yogurt, Honey",https://example.com/breakfast-special-9680
Snack,Snack Special 2082,838,40,53,11,"Pasta, Tomato Sauce, Cheese, Chicken, Rice, Vegetables",https://example.com/snack-special-2082
Lunch,Lunch Special 1610,806,22,79,29,"Pasta, Tomato Sauce, Cheese, Smoothie, Berries, Almond Milk",https://example.com/lunch-special-1610
Breakfast,Breakfast Special 8492,644,38,33,4,"Beef, Potatoes, Peas, Fish, Quinoa, Spinach",https://example.com/breakfast-special-8492
Dessert,Dessert Special 3270,355,31,29,18,"Chicken, Rice, Vegetables, Bread, Peanut Butter, Banana",https://example.com/dessert-special-3270
Breakfast,Breakfast Special 4183,317,65,69,20,"Chicken, Rice, Vegetables, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-4183
Breakfast,Breakfast Special 8818,434,40,28,39,"Chicken, Rice, Vegetables, Eggs, Bacon, Toast",https://example.com/breakfast-special-8818
Dinner,Dinner Special 1352,502,36,36,40,"Fruit Salad, Yogurt, Honey, Pasta, Tomato Sauce, Cheese",https://example.com/dinner-special-1352
Breakfast,Breakfast Special 686,402,30,14,17,"Beef, Potatoes, Peas, Bread, Peanut Butter, Banana",https://example.com/breakfast-special-686
Snack,Snack Special 1632,814,39,39,4,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/snack-special-1632
Lunch,Lunch Unique 1722,754,23,28,8,"Beef, Potatoes, Peas, Pasta, Tomato Sauce, Cheese",https://example.com/lunch-unique-1722
Dinner,Dinner Special 6563,437,11,69,32,"Pasta, Tomato Sauce, Cheese, Fish, Quinoa, Spinach",https://example.com/dinner-special-6563
Snack,Snack Special 4310,239,20,31,30,"Smoothie, Berries, Almond Milk, Bread, Peanut Butter, Banana",https://example.com/snack-special-4310
Breakfast,Breakfast Special 3923,381,47,80,8,"Fruit Salad, Yogurt, Honey, Beef, Potatoes, Peas",https://example.com/breakfast-special-3923
Breakfast,Breakfast Special 8920,481,48,54,6,"Eggs, Bacon, Toast, Smoothie, Berries, Almond Milk",https://example.com/breakfast-special-8920
Snack,Snack Special 1330,521,28,24,8,"Beef, Potatoes, Peas, Eggs, Bacon, Toast",https://example.com/snack-special-1330
Snack,Snack Special 5564,242,19,8,9,"Fruit Salad, Yogurt, Honey, Smoothie, Berries, Almond Milk",https://example.com/snack-special-5564
